"effort","total_infected, edges_closed"
0,1318
0.01,1216
0.06,1415
0.11,1403
0.16,1406
0.21,1453
0.26,1490
0.31,1517
0.36,1532
0.41,1573
0.46,1609
0.51,1623
0.56,1642
0.61,1630
0.66,1288
0.71,1234
0.76,884
0.81,284
0.86,41
0.91,18
0.96,13
