"effort","total_infected, edges_closed"
0,1226
0.01,1272
0.06,1361
0.11,1371
0.16,1395
0.21,1460
0.26,1505
0.31,1522
0.36,1548
0.41,1561
0.46,1673
0.51,1612
0.56,1594
0.61,1629
0.66,1529
0.71,1362
0.76,896
0.81,515
0.86,45
0.91,26
0.96,11
