"effort","total_infected, edges_closed"
0,1275
0.01,1252
0.06,1400
0.11,1365
0.16,1425
0.21,1427
0.26,1447
0.31,1484
0.36,1523
0.41,1536
0.46,1590
0.51,1616
0.56,1593
0.61,1583
0.66,1376
0.71,960
0.76,410
0.81,210
0.86,31
0.91,20
0.96,14
