"effort","total_infected, edges_closed"
0,1287
0.01,1214
0.06,1387
0.11,1346
0.16,1436
0.21,1448
0.26,1495
0.31,1491
0.36,1533
0.41,1566
0.46,1628
0.51,1614
0.56,1567
0.61,1621
0.66,1435
0.71,1356
0.76,874
0.81,633
0.86,175
0.91,26
0.96,16
