"effort","total_infected, edges_closed"
0,1237
0.01,1207
0.06,1342
0.11,1423
0.16,1416
0.21,1481
0.26,1484
0.31,1497
0.36,1537
0.41,1598
0.46,1604
0.51,1631
0.56,1632
0.61,1613
0.66,1223
0.71,1243
0.76,873
0.81,594
0.86,287
0.91,31
0.96,12
