"effort","total_infected, edges_closed"
0,1262
0.01,1222
0.06,1409
0.11,1380
0.16,1425
0.21,1451
0.26,1496
0.31,1503
0.36,1538
0.41,1571
0.46,1597
0.51,1599
0.56,1633
0.61,1624
0.66,1584
0.71,1411
0.76,793
0.81,391
0.86,218
0.91,22
0.96,10
