"effort","total_infected, edges_closed"
0,1244
0.01,1253
0.06,1426
0.11,1406
0.16,1445
0.21,1478
0.26,1514
0.31,1510
0.36,1578
0.41,1595
0.46,1622
0.51,1589
0.56,1579
0.61,1629
0.66,1496
0.71,1254
0.76,814
0.81,593
0.86,151
0.91,21
0.96,12
