"effort","total_infected, edges_closed"
0,1271
0.01,1204
0.06,1442
0.11,1366
0.16,1429
0.21,1442
0.26,1487
0.31,1535
0.36,1520
0.41,1568
0.46,1641
0.51,1596
0.56,1606
0.61,1604
0.66,1530
0.71,1378
0.76,964
0.81,610
0.86,167
0.91,28
0.96,15
