"effort","total_infected, edges_closed"
0,1225
0.01,1237
0.06,1377
0.11,1361
0.16,1427
0.21,1468
0.26,1489
0.31,1516
0.36,1529
0.41,1571
0.46,1635
0.51,1594
0.56,1590
0.61,1641
0.66,1476
0.71,1273
0.76,887
0.81,536
0.86,184
0.91,20
0.96,10
