"effort","total_infected, edges_closed"
0,1233
0.01,1233
0.06,1381
0.11,1391
0.16,1397
0.21,1447
0.26,1509
0.31,1498
0.36,1544
0.41,1593
0.46,1622
0.51,1636
0.56,1655
0.61,1643
0.66,1524
0.71,1416
0.76,1030
0.81,852
0.86,333
0.91,33
0.96,12
