"effort","total_infected, edges_closed"
0,1251
0.01,1257
0.06,1401
0.11,1359
0.16,1444
0.21,1435
0.26,1480
0.31,1504
0.36,1543
0.41,1575
0.46,1589
0.51,1659
0.56,1629
0.61,1593
0.66,1378
0.71,1298
0.76,698
0.81,476
0.86,219
0.91,34
0.96,15
