"effort","total_infected"
0,3286
0.01,3227
0.06,3030
0.11,2791
0.16,2594
0.21,2397
0.26,2194
0.31,1993
0.36,1784
0.41,1606
0.46,1412
0.51,1221
0.56,1039
0.61,872
0.66,714
0.71,553
0.76,417
0.81,290
0.86,200
0.91,120
0.96,30
