"effort","total_infected"
0,3273
0.01,3272
0.06,3224
0.11,3184
0.16,3154
0.21,3096
0.26,3043
0.31,2950
0.36,2877
0.41,7
0.46,7
0.51,7
0.56,7
0.61,7
0.66,7
0.71,7
0.76,7
0.81,7
0.86,7
0.91,1
0.96,1
