time, s, e, i, r
0, 3276, 0, 10, 0
1, 3252, 24, 10, 0
2, 3246, 30, 10, 0
3, 3242, 34, 10, 0
4, 3236, 27, 23, 0
5, 3195, 57, 34, 0
6, 3164, 82, 40, 0
7, 3138, 101, 47, 0
8, 3112, 109, 65, 0
9, 3076, 93, 117, 0
10, 3006, 146, 134, 0
11, 2950, 178, 148, 10
12, 2919, 175, 182, 10
13, 2887, 143, 233, 23
14, 2846, 131, 275, 34
15, 2811, 121, 314, 40
16, 2786, 114, 339, 47
17, 2753, 111, 357, 65
18, 2715, 111, 343, 117
19, 2687, 107, 358, 134
20, 2659, 106, 363, 158
21, 2640, 87, 367, 192
22, 2622, 73, 335, 256
23, 2607, 66, 304, 309
24, 2588, 55, 289, 354
25, 2572, 54, 274, 386
26, 2556, 58, 250, 422
27, 2544, 52, 230, 460
28, 2531, 47, 216, 492
29, 2518, 46, 201, 521
30, 2507, 42, 178, 559
31, 2493, 46, 156, 591
32, 2490, 33, 150, 613
33, 2485, 30, 128, 643
34, 2479, 21, 126, 660
35, 2475, 16, 123, 672
36, 2470, 16, 110, 690
37, 2466, 17, 95, 708
38, 2464, 13, 87, 722
39, 2460, 12, 77, 737
40, 2458, 10, 71, 747
41, 2457, 9, 57, 763
42, 2455, 7, 53, 771
43, 2452, 7, 41, 786
44, 2450, 8, 33, 795
45, 2450, 5, 31, 800
46, 2447, 6, 30, 803
47, 2444, 7, 26, 809
48, 2444, 6, 22, 814
49, 2443, 5, 20, 818
50, 2442, 5, 19, 820
51, 2441, 3, 18, 824
52, 2439, 5, 15, 827
53, 2439, 4, 15, 828
54, 2439, 3, 13, 831
55, 2439, 2, 12, 833
56, 2439, 0, 12, 835
57, 2439, 0, 11, 836
58, 2439, 0, 9, 838
59, 2439, 0, 8, 839
60, 2439, 0, 5, 842
61, 2439, 0, 5, 842
62, 2439, 0, 4, 843
63, 2439, 0, 3, 844
64, 2439, 0, 2, 845
65, 2439, 0, 0, 847
