time, s, e, i, r
0, 3276, 0, 10, 0
1, 3201, 75, 10, 0
2, 3201, 75, 10, 0
3, 3200, 76, 10, 0
4, 3200, 44, 42, 0
5, 3182, 19, 85, 0
6, 3174, 26, 86, 0
7, 3171, 29, 86, 0
8, 3169, 22, 95, 0
9, 3162, 14, 110, 0
10, 3156, 18, 112, 0
11, 3152, 19, 105, 10
12, 3149, 16, 111, 10
13, 3147, 14, 83, 42
14, 3146, 7, 48, 85
15, 3143, 8, 49, 86
16, 3142, 6, 52, 86
17, 3138, 9, 44, 95
18, 3137, 8, 31, 110
19, 3131, 11, 32, 112
20, 3128, 11, 32, 115
21, 3127, 11, 27, 121
22, 3126, 8, 27, 125
23, 3124, 5, 24, 133
24, 3123, 5, 23, 135
25, 3122, 4, 22, 138
26, 3120, 4, 23, 139
27, 3120, 3, 22, 141
28, 3119, 3, 20, 144
29, 3117, 4, 18, 147
30, 3117, 3, 18, 148
31, 3116, 3, 15, 152
32, 3115, 2, 12, 157
33, 3115, 2, 11, 158
34, 3115, 1, 10, 160
35, 3115, 0, 9, 162
36, 3114, 1, 8, 163
37, 3114, 1, 7, 164
38, 3114, 1, 6, 165
39, 3114, 1, 5, 166
40, 3114, 0, 5, 167
41, 3114, 0, 3, 169
42, 3114, 0, 3, 169
43, 3114, 0, 2, 170
44, 3114, 0, 1, 171
45, 3114, 0, 1, 171
46, 3114, 0, 1, 171
47, 3114, 0, 1, 171
48, 3114, 0, 1, 171
49, 3114, 0, 0, 172
