"effort","total_infected"
0,3286
0.01,3157
0.06,2443
0.11,937
0.16,2
0.21,2
0.26,2
0.31,2
0.36,2
0.41,2
0.46,1
0.51,1
0.56,1
0.61,1
0.66,1
0.71,1
0.76,1
0.81,1
0.86,1
0.91,1
0.96,1
