time, s, e, i, r
0, 3276, 0, 10, 0
1, 3210, 66, 10, 0
2, 3178, 98, 10, 0
3, 3147, 129, 10, 0
4, 3129, 119, 38, 0
5, 2978, 219, 89, 0
6, 2961, 207, 118, 0
7, 2958, 184, 144, 0
8, 2955, 81, 250, 0
9, 2941, 26, 319, 0
10, 2935, 25, 326, 0
11, 2932, 23, 321, 10
12, 2930, 16, 330, 10
13, 2927, 13, 308, 38
14, 2924, 11, 262, 89
15, 2918, 12, 238, 118
16, 2917, 11, 214, 144
17, 2914, 12, 110, 250
18, 2913, 6, 48, 319
19, 2913, 4, 43, 326
20, 2913, 2, 40, 331
21, 2912, 1, 33, 340
22, 2906, 7, 27, 346
23, 2906, 7, 22, 351
24, 2904, 9, 17, 356
25, 2904, 5, 19, 358
26, 2903, 3, 20, 360
27, 2901, 4, 14, 367
28, 2899, 5, 13, 369
29, 2898, 5, 12, 371
30, 2897, 4, 12, 373
31, 2896, 4, 13, 373
32, 2896, 3, 14, 373
33, 2896, 1, 16, 373
34, 2893, 3, 13, 377
35, 2893, 3, 10, 380
36, 2893, 3, 9, 381
37, 2893, 1, 10, 382
38, 2893, 0, 10, 383
39, 2893, 0, 8, 385
40, 2892, 1, 7, 386
41, 2892, 1, 6, 387
42, 2892, 1, 4, 389
43, 2892, 0, 4, 390
44, 2892, 0, 4, 390
45, 2892, 0, 4, 390
46, 2892, 0, 2, 392
47, 2892, 0, 1, 393
48, 2892, 0, 1, 393
49, 2892, 0, 1, 393
50, 2892, 0, 1, 393
51, 2892, 0, 1, 393
52, 2892, 0, 0, 394
