"Effort","Median"
0,0.000304043782304652
5,0.000299176545679134
10,0.000266789981586215
15,0.000237473538643344
20,0.000222644545958392
25,0.000215123170895456
30,0.000208873919509
35,0.000202530295643185
40,0.000198870367551612
45,0.000186546682177436
50,0.000175256342631202
55,0.000154727568044818
60,0.000141111085789542
65,0.000124089182580931
70,0.000119621898670747
75,0.000111904959855786
80,0.000106056711616921
85,9.28231531651163e-05
90,8.17070310649883e-05
95,7.75514961711669e-05
100,7.4831552159561e-05
