time, s, e, i, r
0, 3276, 0, 10, 0
1, 3192, 84, 10, 0
2, 3155, 121, 10, 0
3, 3133, 143, 10, 0
4, 3127, 102, 57, 0
5, 3118, 62, 106, 0
6, 3103, 46, 137, 0
7, 3094, 37, 155, 0
8, 3089, 33, 164, 0
9, 3084, 23, 179, 0
10, 3080, 20, 186, 0
11, 3077, 16, 183, 10
12, 3070, 16, 190, 10
13, 3066, 17, 146, 57
14, 3064, 15, 101, 106
15, 3062, 13, 74, 137
16, 3061, 8, 62, 155
17, 3060, 5, 57, 164
18, 3060, 2, 45, 179
19, 3053, 9, 38, 186
20, 3051, 9, 33, 193
21, 3051, 9, 26, 200
22, 3050, 7, 26, 203
23, 3049, 2, 28, 207
24, 3047, 4, 24, 211
25, 3047, 3, 19, 217
26, 3044, 6, 15, 221
27, 3041, 6, 15, 224
28, 3041, 6, 15, 224
29, 3041, 4, 15, 226
30, 3039, 2, 19, 226
31, 3037, 4, 16, 229
32, 3036, 5, 10, 235
33, 3036, 5, 10, 235
34, 3036, 1, 13, 236
35, 3035, 1, 14, 236
36, 3034, 2, 11, 239
37, 3034, 2, 11, 239
38, 3034, 2, 9, 241
39, 3034, 0, 7, 245
40, 3034, 0, 7, 245
41, 3034, 0, 7, 245
42, 3034, 0, 7, 245
43, 3034, 0, 3, 249
44, 3034, 0, 2, 250
45, 3034, 0, 2, 250
46, 3034, 0, 2, 250
47, 3034, 0, 2, 250
48, 3034, 0, 0, 252
