"Effort","Median"
0,0.000304043782304652
5,0.000304305584714151
10,0.000281490682524599
15,0.000262444243596051
20,0.000245883418312279
25,0.000227994000550528
30,0.000212589657702202
35,0.000199040960581983
40,0.00018520036671372
45,0.000171413476390737
50,0.00016111963819649
55,0.000150601546173213
60,0.000139135154147318
65,0.000130745264889734
70,0.000123069472371749
75,0.000115063137521113
80,0.000107308481052989
85,9.72222905331662e-05
90,8.99650329771254e-05
95,8.77325167006667e-05
100,7.61978458840934e-05
