"effort","total_infected"
0,2003
0.01,1966
0.06,1617
0.11,1347
0.16,1232
0.21,1167
0.26,1135
0.31,1084
0.36,1045
0.41,991
0.46,909
0.51,731
0.56,643
0.61,520
0.66,486
0.71,443
0.76,394
0.81,294
0.86,207
0.91,195
0.96,161
