"effort","total_infected"
0,2022
0.01,1942
0.06,1842
0.11,1735
0.16,1606
0.21,1513
0.26,1403
0.31,1343
0.36,1256
0.41,1138
0.46,1088
0.51,917
0.56,798
0.61,694
0.66,604
0.71,492
0.76,394
0.81,287
0.86,194
0.91,10
0.96,10
