"effort","total_infected, edges_closed"
0,1226
0.01,1279
0.06,1255
0.11,1244
0.16,1265
0.21,1199
0.26,1263
0.31,1287
0.36,1226
0.41,1261
0.46,1294
0.51,1240
0.56,1224
0.61,1273
0.66,1236
0.71,1243
0.76,1258
0.81,1235
0.86,1293
0.91,1260
0.96,1265
