"effort","total_infected, edges_closed"
0,1254
0.01,1248
0.06,1286
0.11,1244
0.16,1240
0.21,1273
0.26,1228
0.31,1285
0.36,1266
0.41,1263
0.46,1219
0.51,1257
0.56,1235
0.61,1213
0.66,1268
0.71,1256
0.76,1250
0.81,1217
0.86,1281
0.91,1270
0.96,1248
