"effort","total_infected, edges_closed"
0,1252
0.01,1208
0.06,1255
0.11,1273
0.16,1243
0.21,1316
0.26,1252
0.31,1281
0.36,1290
0.41,1254
0.46,1267
0.51,1269
0.56,1216
0.61,1257
0.66,1222
0.71,1286
0.76,1244
0.81,1253
0.86,1267
0.91,1268
0.96,1280
