"effort","total_infected"
0,3286
0.01,3019
0.06,1684
0.11,1084
0.16,874
0.21,410
0.26,116
0.31,25
0.36,12
0.41,8
0.46,7
0.51,4
0.56,1
0.61,1
0.66,1
0.71,1
0.76,1
0.81,1
0.86,1
0.91,1
0.96,1
