"effort","total_infected, edges_closed"
0,1271
0.01,1302
0.06,1381
0.11,1457
0.16,1495
0.21,1571
0.26,1623
0.31,1662
0.36,1710
0.41,1770
0.46,1769
0.51,1835
0.56,1852
0.61,1713
0.66,1024
0.71,351
0.76,315
0.81,299
0.86,307
0.91,312
0.96,311
