"effort","total_infected, edges_closed"
0,1227
0.01,1286
0.06,1422
0.11,1455
0.16,1478
0.21,1572
0.26,1621
0.31,1615
0.36,1714
0.41,1785
0.46,1829
0.51,1827
0.56,1853
0.61,1663
0.66,965
0.71,356
0.76,316
0.81,333
0.86,327
0.91,325
0.96,339
