"effort","total_infected"
0,1274
0.01,1226
0.06,1164
0.11,1080
0.16,1013
0.21,962
0.26,865
0.31,787
0.36,756
0.41,690
0.46,634
0.51,585
0.56,522
0.61,495
0.66,445
0.71,388
0.76,351
0.81,289
0.86,252
0.91,185
0.96,96
