"effort","total_infected","total_infected.1","total_infected.2","total_infected.3","total_infected.4","total_infected.5","total_infected.6","total_infected.7","total_infected.8","total_infected.9","total_infected.10","total_infected.11","total_infected.12","total_infected.13","total_infected.14","total_infected.15","total_infected.16","total_infected.17","total_infected.18","total_infected.19","total_infected.20","total_infected.21","total_infected.22","total_infected.23","total_infected.24","total_infected.25","total_infected.26","total_infected.27","total_infected.28","total_infected.29","total_infected.30","total_infected.31","total_infected.32","total_infected.33","total_infected.34","total_infected.35","total_infected.36","total_infected.37","total_infected.38","total_infected.39","total_infected.40","total_infected.41","total_infected.42","total_infected.43","total_infected.44","total_infected.45","total_infected.46","total_infected.47","total_infected.48","total_infected.49","total_infected.50","total_infected.51","total_infected.52","total_infected.53","total_infected.54","total_infected.55","total_infected.56","total_infected.57","total_infected.58","total_infected.59","total_infected.60","total_infected.61","total_infected.62","total_infected.63","total_infected.64","total_infected.65","total_infected.66"
0.16,154,4,4,4,2,46,252,62,218,22,9,447,7,2,16,6,2,7,2,218,25,15,7,6,12,19,103,2,11,16,103,23,218,2,359,43,35,12,27,252,252,145,3,4,4,14,471,252,218,96,2,398,218,103,3,3,62,103,2,106,252,25,14,50,3,38,4
0.17,128,4,4,4,2,46,41,55,218,18,9,306,7,2,16,6,2,7,2,218,25,15,7,6,12,19,11,2,11,16,103,23,218,2,208,43,35,12,27,113,41,127,3,4,4,14,427,113,218,79,2,288,218,4,3,3,62,48,2,58,41,25,14,50,3,38,4
0.18,127,4,4,4,2,10,5,55,192,18,9,241,7,2,16,6,2,7,2,192,15,15,7,6,12,19,11,2,11,16,98,23,2,2,127,36,35,12,27,48,27,127,3,4,4,14,345,48,192,79,2,234,192,4,3,3,31,48,2,58,41,23,14,5,3,38,4
0.19,121,4,4,4,2,10,5,55,3,18,9,240,7,2,16,6,2,7,2,165,15,15,7,6,12,19,11,2,11,16,98,23,2,2,113,36,35,12,27,48,27,124,3,4,4,14,324,48,165,62,2,200,165,4,3,3,31,42,2,52,32,23,14,5,3,38,4
0.2,115,4,4,4,2,10,5,55,3,18,9,225,7,2,16,6,2,7,2,153,15,15,7,6,12,19,11,2,11,16,97,23,2,2,113,36,35,12,27,48,27,99,3,4,4,14,307,48,153,62,2,190,153,4,3,3,31,25,2,26,32,5,14,5,3,35,4
0.21,115,4,4,4,2,10,5,55,3,11,9,220,7,2,16,6,2,7,2,76,15,15,7,6,12,19,11,2,11,16,97,23,2,2,113,36,30,12,27,5,27,99,3,4,4,14,307,26,76,59,2,186,3,4,3,3,31,8,2,26,32,5,14,5,3,17,4
0.22,112,4,4,4,2,10,5,48,3,11,9,217,7,2,16,6,2,7,2,76,15,15,7,6,12,11,11,2,11,16,97,23,2,2,108,36,30,12,20,5,13,99,3,4,4,14,275,26,76,59,2,186,3,4,3,3,31,8,2,23,20,5,14,5,3,17,4
0.23,111,4,4,4,2,10,5,48,3,11,9,213,7,2,16,6,2,7,2,60,13,15,7,6,12,11,11,2,11,16,97,23,2,2,108,28,30,12,20,5,13,97,3,4,4,5,261,20,60,59,2,186,3,4,3,3,31,8,2,23,15,5,4,5,3,17,4
0.24,111,4,4,4,2,10,5,48,3,11,9,210,7,2,16,6,2,7,2,60,13,15,7,6,12,11,6,2,11,16,96,23,2,2,108,15,30,12,20,5,13,97,3,4,4,5,260,20,60,59,2,186,3,4,3,3,31,8,2,21,15,5,4,5,3,17,4
0.25,111,4,4,4,2,10,5,48,3,11,9,210,7,2,10,6,2,7,2,60,13,15,7,6,12,11,6,2,11,2,83,23,2,2,108,15,30,12,20,5,13,97,3,4,4,5,258,14,60,53,2,185,3,4,3,3,31,8,2,21,15,5,4,5,3,17,4
0.26,106,4,4,4,2,10,5,46,3,11,9,210,7,2,10,6,2,7,2,57,13,15,7,6,12,11,6,2,11,2,83,23,2,2,108,15,30,12,20,5,13,96,3,4,4,5,255,14,57,50,2,185,3,4,3,3,31,8,2,21,15,5,4,5,3,13,4
0.27,106,4,4,4,2,10,5,46,3,11,9,208,7,2,10,6,2,7,2,57,11,15,7,6,12,11,6,2,11,2,83,23,2,2,108,2,30,12,20,5,4,92,3,4,4,5,255,14,57,48,2,185,3,4,3,3,30,8,2,21,15,5,4,5,3,13,4
0.28,106,4,4,4,2,10,5,34,3,11,9,208,7,2,10,6,2,7,2,57,11,15,7,6,12,11,6,2,11,2,83,23,2,2,108,2,30,12,2,5,4,88,3,4,4,5,255,14,57,48,2,185,3,4,3,3,30,8,2,21,15,5,4,5,3,13,4
0.29,104,4,4,4,2,10,5,34,3,11,9,205,7,2,10,6,2,7,2,51,11,15,7,6,12,11,6,2,11,2,83,23,2,2,108,2,30,12,2,5,4,82,3,4,4,5,244,14,51,43,2,185,3,4,3,3,30,8,2,21,15,5,4,5,3,13,4
