"effort","total_infected, edges_closed"
0,1199
0.01,1251
0.06,1392
0.11,1381
0.16,1416
0.21,1473
0.26,1497
0.31,1518
0.36,1553
0.41,1569
0.46,1615
0.51,1639
0.56,1642
0.61,1639
0.66,1570
0.71,1401
0.76,978
0.81,586
0.86,214
0.91,22
0.96,12
