"effort","total_infected"
0,3273
0.01,3001
0.06,1671
0.11,803
0.16,628
0.21,482
0.26,226
0.31,54
0.36,15
0.41,11
0.46,8
0.51,5
0.56,5
0.61,5
0.66,3
0.71,3
0.76,3
0.81,3
0.86,2
0.91,1
0.96,1
