"effort","total_infected"
0,1234
0.01,1262
0.06,1277
0.11,1266
0.16,1267
0.21,1281
0.26,1285
0.31,1235
0.36,1218
0.41,1270
0.46,1262
0.51,1268
0.56,1314
0.61,1265
0.66,1245
0.71,1271
0.76,1262
0.81,1213
0.86,1274
0.91,1237
0.96,1245
