time, s, i, r
0, 3285, 1, 0
1, 3283, 3, 0
2, 3279, 7, 0
3, 3246, 40, 0
4, 2612, 674, 0
5, 1103, 2182, 1
6, 496, 2788, 2
7, 236, 3047, 3
8, 65, 3192, 29
9, 22, 2801, 463
10, 8, 1490, 1788
11, 5, 673, 2608
12, 2, 300, 2984
13, 2, 94, 3190
14, 0, 36, 3250
15, 0, 16, 3270
16, 0, 5, 3281
17, 0, 5, 3281
18, 0, 2, 3284
19, 0, 0, 3286
