time, s, i, r
0, 3285, 1, 0
1, 3183, 103, 0
2, 2471, 815, 0
3, 1120, 2166, 0
4, 500, 2786, 0
5, 202, 3083, 1
6, 50, 3199, 37
7, 14, 2792, 480
8, 7, 1452, 1827
9, 2, 677, 2607
10, 2, 266, 3018
11, 0, 81, 3205
12, 0, 28, 3258
13, 0, 8, 3278
14, 0, 5, 3281
15, 0, 2, 3284
16, 0, 0, 3286
