time, s, i, r
0, 3285, 1, 0
1, 3284, 2, 0
2, 3254, 32, 0
3, 2745, 541, 0
4, 1271, 2015, 0
5, 565, 2720, 1
6, 233, 3051, 2
7, 54, 3213, 19
8, 20, 2951, 315
9, 9, 1660, 1617
10, 5, 761, 2520
11, 2, 311, 2973
12, 2, 87, 3197
13, 0, 32, 3254
14, 0, 15, 3271
15, 0, 5, 3281
16, 0, 5, 3281
17, 0, 2, 3284
18, 0, 0, 3286
