time, s, i, r
0, 3285, 1, 0
1, 3283, 3, 0
2, 3247, 39, 0
3, 3117, 169, 0
4, 2476, 810, 0
5, 1220, 2065, 1
6, 488, 2795, 3
7, 218, 3054, 14
8, 70, 3152, 64
9, 26, 2704, 556
10, 11, 1560, 1715
11, 7, 692, 2587
12, 2, 268, 3016
13, 2, 114, 3170
14, 0, 42, 3244
15, 0, 18, 3268
16, 0, 8, 3278
17, 0, 4, 3282
18, 0, 2, 3284
19, 0, 0, 3286
