time, s, i, r
0, 3285, 1, 0
1, 3272, 14, 0
2, 3047, 239, 0
3, 1617, 1669, 0
4, 776, 2510, 0
5, 307, 2978, 1
6, 116, 3158, 12
7, 49, 3059, 178
8, 13, 2084, 1189
9, 7, 1034, 2245
10, 3, 420, 2863
11, 2, 160, 3124
12, 1, 67, 3218
13, 0, 26, 3260
14, 0, 10, 3276
15, 0, 5, 3281
16, 0, 3, 3283
17, 0, 1, 3285
18, 0, 0, 3286
