time, s, i, r
0, 3285, 1, 0
1, 3266, 20, 0
2, 2999, 287, 0
3, 2293, 993, 0
4, 1122, 2164, 0
5, 394, 2891, 1
6, 138, 3139, 9
7, 33, 3136, 117
8, 14, 2593, 679
9, 9, 1445, 1832
10, 2, 552, 2732
11, 2, 191, 3093
12, 0, 63, 3223
13, 0, 24, 3262
14, 0, 9, 3277
15, 0, 6, 3280
16, 0, 2, 3284
17, 0, 0, 3286
