time, s, i, r
0, 3285, 1, 0
1, 3283, 3, 0
2, 3254, 32, 0
3, 3252, 34, 0
4, 2993, 293, 0
5, 1836, 1449, 1
6, 934, 2350, 2
7, 244, 3034, 8
8, 92, 3160, 34
9, 27, 3047, 212
10, 10, 2212, 1064
11, 6, 1176, 2104
12, 2, 415, 2869
13, 2, 138, 3146
14, 0, 46, 3240
15, 0, 19, 3267
16, 0, 6, 3280
17, 0, 5, 3281
18, 0, 2, 3284
19, 0, 0, 3286
