time, s, i, r
0, 3285, 1, 0
1, 3280, 6, 0
2, 3011, 275, 0
3, 2344, 942, 0
4, 1313, 1973, 0
5, 340, 2945, 1
6, 125, 3157, 4
7, 38, 3086, 162
8, 14, 2708, 564
9, 6, 1560, 1720
10, 3, 573, 2710
11, 2, 182, 3102
12, 0, 54, 3232
13, 0, 26, 3260
14, 0, 9, 3277
15, 0, 5, 3281
16, 0, 3, 3283
17, 0, 0, 3286
