time, s, i, r
0, 3285, 1, 0
1, 3281, 5, 0
2, 3188, 98, 0
3, 2599, 687, 0
4, 1659, 1627, 0
5, 615, 2670, 1
6, 175, 3108, 3
7, 66, 3160, 60
8, 23, 2824, 439
9, 10, 2001, 1275
10, 6, 865, 2415
11, 2, 298, 2986
12, 2, 90, 3194
13, 0, 36, 3250
14, 0, 18, 3268
15, 0, 6, 3280
16, 0, 5, 3281
17, 0, 2, 3284
18, 0, 0, 3286
