time, s, i, r
0, 3285, 1, 0
1, 3122, 164, 0
2, 2117, 1169, 0
3, 840, 2446, 0
4, 401, 2885, 0
5, 105, 3180, 1
6, 30, 3113, 143
7, 13, 2394, 879
8, 4, 1174, 2108
9, 2, 511, 2773
10, 2, 166, 3118
11, 0, 51, 3235
12, 0, 18, 3268
13, 0, 8, 3278
14, 0, 4, 3282
15, 0, 2, 3284
16, 0, 0, 3286
