time, s, i, r
0, 3285, 1, 0
1, 3278, 8, 0
2, 3054, 232, 0
3, 1524, 1762, 0
4, 552, 2734, 0
5, 173, 3112, 1
6, 48, 3234, 4
7, 16, 3078, 192
8, 7, 1846, 1433
9, 2, 811, 2473
10, 1, 251, 3034
11, 0, 82, 3204
12, 0, 27, 3259
13, 0, 10, 3276
14, 0, 5, 3281
15, 0, 1, 3285
16, 0, 0, 3286
