time, s, e, i, r
0, 3276, 0, 10, 0
1, 3255, 21, 10, 0
2, 3250, 26, 10, 0
3, 3248, 28, 10, 0
4, 3245, 21, 20, 0
5, 3212, 40, 34, 0
6, 3165, 83, 38, 0
7, 3151, 96, 39, 0
8, 3129, 100, 57, 0
9, 3095, 87, 104, 0
10, 3040, 119, 127, 0
11, 3002, 143, 131, 10
12, 2966, 149, 161, 10
13, 2925, 137, 204, 20
14, 2888, 128, 236, 34
15, 2852, 132, 264, 38
16, 2813, 129, 305, 39
17, 2776, 126, 327, 57
18, 2744, 127, 311, 104
19, 2718, 106, 335, 127
20, 2697, 93, 355, 141
21, 2669, 86, 360, 171
22, 2643, 87, 332, 224
23, 2626, 81, 309, 270
24, 2612, 69, 303, 302
25, 2588, 65, 289, 344
26, 2574, 61, 267, 384
27, 2564, 57, 250, 415
28, 2549, 51, 224, 462
29, 2540, 42, 208, 496
30, 2534, 31, 190, 531
31, 2524, 32, 174, 556
32, 2519, 26, 162, 579
33, 2510, 27, 144, 605
34, 2504, 25, 124, 633
35, 2502, 17, 116, 651
36, 2499, 15, 107, 665
37, 2496, 10, 94, 686
38, 2492, 10, 80, 704
39, 2489, 12, 64, 721
40, 2487, 12, 57, 730
41, 2486, 7, 52, 741
42, 2481, 11, 45, 749
43, 2478, 9, 42, 757
44, 2477, 9, 33, 767
45, 2475, 8, 31, 772
46, 2473, 7, 26, 780
47, 2471, 6, 25, 784
48, 2468, 7, 26, 785
49, 2466, 8, 25, 787
50, 2466, 6, 21, 793
51, 2466, 2, 24, 794
52, 2464, 4, 19, 799
53, 2464, 2, 20, 800
54, 2464, 2, 17, 803
55, 2464, 2, 14, 806
56, 2464, 0, 13, 809
57, 2462, 2, 11, 811
58, 2462, 2, 10, 812
59, 2462, 2, 8, 814
60, 2462, 2, 4, 818
61, 2462, 0, 6, 818
62, 2462, 0, 4, 820
63, 2462, 0, 4, 820
64, 2462, 0, 4, 820
65, 2462, 0, 2, 822
66, 2462, 0, 2, 822
67, 2462, 0, 2, 822
68, 2462, 0, 2, 822
69, 2462, 0, 2, 822
70, 2462, 0, 0, 824
