"Effort","Median"
0,0.000304043782304652
5,0.000302547873093434
10,0.000304876937952258
15,0.000308141601037576
20,0.000313158253531566
25,0.000313091089977202
30,0.000315285961940787
35,0.00031673124709247
40,0.000318849910499307
45,0.000318273341701225
50,0.000317248800302337
55,0.000318035034222721
60,0.000314465825814975
65,0.000309350434561361
70,0.000303699592479144
75,9.31687536559845e-05
80,9.2693724181885e-05
85,9.33032510905666e-05
90,9.29154853823041e-05
95,9.33097472599844e-05
100,9.33516673224271e-05
