time, s, e, i, r
0, 3276, 0, 10, 0
1, 3164, 112, 10, 0
2, 3126, 150, 10, 0
3, 3092, 184, 10, 0
4, 3077, 124, 85, 0
5, 2930, 209, 147, 0
6, 2836, 266, 184, 0
7, 2796, 289, 201, 0
8, 2767, 252, 267, 0
9, 2727, 158, 401, 0
10, 2679, 137, 470, 0
11, 2650, 135, 491, 10
12, 2622, 124, 530, 10
13, 2605, 101, 495, 85
14, 2580, 86, 473, 147
15, 2565, 71, 466, 184
16, 2548, 62, 475, 201
17, 2538, 53, 428, 267
18, 2524, 51, 310, 401
19, 2514, 41, 261, 470
20, 2510, 32, 243, 501
21, 2500, 31, 215, 540
22, 2496, 24, 186, 580
23, 2491, 21, 154, 620
24, 2485, 22, 129, 650
25, 2480, 18, 112, 676
26, 2475, 18, 98, 695
27, 2473, 16, 86, 711
28, 2472, 11, 72, 731
29, 2468, 8, 66, 744
30, 2467, 7, 57, 755
31, 2467, 6, 47, 766
32, 2467, 4, 41, 774
33, 2467, 1, 39, 779
34, 2466, 1, 31, 788
35, 2466, 1, 26, 793
36, 2466, 1, 22, 797
37, 2466, 1, 16, 803
38, 2466, 0, 10, 810
39, 2466, 0, 8, 812
40, 2466, 0, 7, 813
41, 2466, 0, 5, 815
42, 2466, 0, 2, 818
43, 2466, 0, 1, 819
44, 2466, 0, 1, 819
45, 2466, 0, 1, 819
46, 2466, 0, 1, 819
47, 2466, 0, 0, 820
