1390766423 85073 0 0
1390788471 85723 0 0
1390939821 85723 0 0
1390944372 85765 0 0
1390946542 85772 0 0
1390948075 85784 0 0
1391055688 89120 0 0
1391364714 89515 0 0
1391521958 89659 0 0
1391562876 90035 35 0
1391565586 90035 59731 0
1391581562 90057 59731 0
1391581652 90057 59731 0
1391616123 90057 59731 70
1391720065 90407 59731 70
1391794712 90407 59917 70
1392157427 90407 246609 70
1392173340 97363 246609 70
1392173362 97363 246609 70
1392173418 97363 246614 70
1392222049 97439 246614 70
1392222064 97439 246614 70
1392228124 97439 247010 70
1392234580 99738 247010 70
1392234589 99738 247010 70
1392234652 99738 247168 70
1392586558 99738 247670 70
1392735099 104057 247670 70
1392735117 104057 247670 70
1392748250 104336 247670 70
1392752890 104336 247670 70
1392753275 104336 247670 70
1392753486 104348 247670 70
1392754099 104352 247670 70
1392754397 104352 247670 39499
1392779881 104365 247670 39499
1392815789 171912 247670 39499
1392815983 221847 247670 39499
1392840949 222127 247670 39499
1392842581 222481 247670 39499
1393027900 222636 247670 39499
1393201173 222709 247670 39499
1393201666 222716 247670 39499
1393203928 226678 247670 39499
1393204603 228879 247670 39499
1393387334 228879 288097 39499
1393442814 268432 288097 39499
1393443169 269810 288097 39499
1393443197 269810 288097 39499
1394462149 401622 288097 39499
1394464364 401673 288097 39499
1394566259 401740 288097 39499
1394569269 401783 288097 39499
1394590109 401783 288099 39499
1394590945 401783 288113 39499
1394656213 408241 288113 39499
1394736413 408242 288113 39499
1395252342 408242 288196 39499
1395260694 408242 288199 39499
1395270485 408242 288199 39499
1395340987 408242 288201 39499
1395345754 408242 288202 39499
1395363776 408258 288202 39499
1395458436 410859 288202 39499
1395553637 420150 288202 39499
1395553704 430001 288202 39499
1395553896 430003 288202 39499
1395554142 437717 288202 39499
1395554209 437717 288202 39499
1395554278 437736 288202 39499
1395624125 437753 288202 39499
1395664908 444353 288202 39499
1395664942 444357 288202 39499
1395666043 444362 288202 39499
1395786954 444444 288202 39499
1395786988 444445 288202 39499
1395787070 444446 288202 39499
