1390766423 85073
1390788471 85137
1390939821 85137
1390944372 85158
1390946542 85163
1390948075 85168
1391055688 88495
1391364714 88495
1391521958 88629
1391562876 88733
1391581562 88741
1391581652 148472
1391616123 148472
1391720065 145436
1391794712 145436
1392173340 152366
1392173362 279375
1392222049 279440
1392222064 279441
1392234580 281725
1392234589 281725
1392234652 281867
1392735099 275534
1392735117 275578
1392748250 275803
1392752890 275800
1392753275 275800
1392753486 275810
1392754099 275813
1392754397 315242
1392779881 315255
1392815789 381051
1392815983 430976
1392840949 431242
1392842581 431545
1393027900 431654
1393201173 431686
1393201666 431687
1393203928 435649
1393204603 437849
1393442814 437770
1393443169 439148
1393443197 479088
1394462149 483271
1394464364 483291
1394566259 483306
1394569269 483329
1394590109 483331
1394590945 483344
1395252342 483415
1395260694 483415
1395270485 485631
1395340987 485632
1395345754 485632
1395363776 485641
1395458436 488099
1395553637 497390
1395553704 497953
1395553896 497953
1395554142 505667
1395554209 498219
1395554278 498234
1395624125 488952
1395664908 495552
1395664942 495553
1395666043 495558
1395786954 495597
1395786988 495597
1395787070 495597
