"effort","total_infected"
0,1258
0.01,1270
0.06,1121
0.11,970
0.16,943
0.21,880
0.26,841
0.31,783
0.36,739
0.41,740
0.46,748
0.51,726
0.56,701
0.61,679
0.66,650
0.71,639
0.76,621
0.81,571
0.86,505
0.91,434
0.96,302
