"effort","total_infected"
0,3273
0.01,3241
0.06,3048
0.11,2824
0.16,2591
0.21,2374
0.26,2152
0.31,1885
0.36,1723
0.41,1524
0.46,1340
0.51,5
0.56,4
0.61,3
0.66,3
0.71,3
0.76,3
0.81,3
0.86,2
0.91,2
0.96,2
