"effort","total_infected"
0,1242
0.01,1232
0.06,1146
0.11,1104
0.16,992
0.21,925
0.26,864
0.31,807
0.36,763
0.41,698
0.46,686
0.51,606
0.56,539
0.61,525
0.66,503
0.71,484
0.76,437
0.81,396
0.86,374
0.91,380
0.96,328
