time, s, e, i, r
0, 3276, 0, 10, 0
1, 3274, 2, 10, 0
2, 3274, 2, 10, 0
3, 3274, 2, 10, 0
4, 3274, 0, 12, 0
5, 3266, 8, 12, 0
6, 3262, 12, 12, 0
7, 3261, 13, 12, 0
8, 3260, 14, 12, 0
9, 3259, 7, 20, 0
10, 3249, 13, 24, 0
11, 3242, 18, 16, 10
12, 3240, 20, 16, 10
13, 3239, 18, 17, 12
14, 3239, 5, 30, 12
15, 3234, 7, 33, 12
16, 3232, 8, 34, 12
17, 3231, 8, 35, 12
18, 3229, 10, 27, 20
19, 3228, 5, 29, 24
20, 3226, 6, 28, 26
21, 3225, 6, 29, 26
22, 3223, 5, 29, 29
23, 3221, 6, 17, 42
24, 3221, 4, 16, 45
25, 3215, 9, 16, 46
26, 3214, 7, 18, 47
27, 3208, 13, 18, 47
28, 3207, 12, 14, 53
29, 3207, 8, 17, 54
30, 3206, 5, 20, 55
31, 3202, 5, 21, 58
32, 3200, 7, 20, 59
33, 3199, 7, 19, 61
34, 3198, 4, 22, 62
35, 3196, 4, 21, 65
36, 3194, 5, 22, 65
37, 3193, 6, 20, 67
38, 3192, 4, 19, 71
39, 3190, 4, 17, 75
40, 3189, 4, 14, 79
41, 3189, 3, 15, 79
42, 3189, 2, 15, 80
43, 3189, 1, 12, 84
44, 3189, 0, 11, 86
45, 3189, 0, 10, 87
46, 3189, 0, 10, 87
47, 3189, 0, 7, 90
48, 3189, 0, 5, 92
49, 3189, 0, 4, 93
50, 3189, 0, 3, 94
51, 3189, 0, 2, 95
52, 3189, 0, 1, 96
53, 3189, 0, 0, 97
