"Effort","Median"
0,1257.02
5,1256.81
10,1167.69
15,1084.88
20,1008.06
25,933.75
30,865.75
35,808.93
40,749.13
45,684.43
50,638.21
55,590.95
60,539
65,491.63
70,448.78
75,401.93
80,349.5
85,288.83
90,241.89
95,189.48
100,80.23
