"effort","total_infected"
0,1245
0.01,1258
0.06,1203
0.11,1172
0.16,1096
0.21,1004
0.26,987
0.31,975
0.36,950
0.41,934
0.46,874
0.51,861
0.56,844
0.61,817
0.66,794
0.71,794
0.76,768
0.81,762
0.86,764
0.91,816
0.96,824
