"effort","total_infected, edges_closed"
0,1260
0.01,1264
0.06,1403
0.11,1382
0.16,1425
0.21,1435
0.26,1493
0.31,1513
0.36,1556
0.41,1560
0.46,1617
0.51,1597
0.56,1614
0.61,1619
0.66,1377
0.71,1340
0.76,800
0.81,553
0.86,229
0.91,31
0.96,11
