"effort","total_infected, edges_closed"
0,1273
0.01,1267
0.06,1379
0.11,1388
0.16,1442
0.21,1470
0.26,1501
0.31,1518
0.36,1534
0.41,1555
0.46,1607
0.51,1633
0.56,1608
0.61,1650
0.66,1530
0.71,1411
0.76,705
0.81,610
0.86,195
0.91,25
0.96,12
