time, s, i, r
0, 3285, 1, 0
1, 3284, 2, 0
2, 3284, 2, 0
3, 3254, 32, 0
4, 2571, 715, 0
5, 960, 2325, 1
6, 513, 2772, 1
7, 174, 3110, 2
8, 67, 3189, 30
9, 31, 2687, 568
10, 22, 1346, 1918
11, 17, 626, 2643
12, 15, 221, 3050
13, 14, 83, 3189
14, 13, 31, 3242
15, 13, 14, 3259
16, 13, 6, 3267
17, 13, 3, 3270
18, 13, 1, 3272
19, 13, 0, 3273
