time, s, i, r
0, 3285, 1, 0
1, 3284, 2, 0
2, 3284, 2, 0
3, 3225, 61, 0
4, 2970, 316, 0
5, 2178, 1107, 1
6, 999, 2286, 1
7, 410, 2874, 2
8, 137, 3121, 28
9, 64, 3061, 161
10, 34, 2507, 745
11, 21, 1328, 1937
12, 15, 523, 2748
13, 15, 184, 3087
14, 13, 73, 3200
15, 13, 31, 3242
16, 13, 15, 3258
17, 13, 5, 3268
18, 13, 2, 3271
19, 13, 0, 3273
