time, s, i, r
0, 3285, 1, 0
1, 3252, 34, 0
2, 3222, 64, 0
3, 2965, 321, 0
4, 2264, 1022, 0
5, 1176, 2109, 1
6, 444, 2835, 7
7, 179, 3064, 43
8, 64, 2999, 223
9, 33, 2533, 720
10, 22, 1456, 1808
11, 15, 625, 2646
12, 15, 225, 3046
13, 13, 79, 3194
14, 13, 31, 3242
15, 13, 15, 3258
16, 13, 5, 3268
17, 13, 2, 3271
18, 13, 0, 3273
