time, s, i, r
0, 3285, 1, 0
1, 3278, 8, 0
2, 3278, 8, 0
3, 2817, 469, 0
4, 1122, 2164, 0
5, 489, 2796, 1
6, 143, 3142, 1
7, 55, 3223, 8
8, 24, 2866, 396
9, 18, 1488, 1780
10, 15, 624, 2647
11, 13, 200, 3073
12, 13, 70, 3203
13, 13, 18, 3255
14, 13, 8, 3265
15, 13, 4, 3269
16, 13, 0, 3273
