time, s, i, r
0, 3285, 1, 0
1, 3284, 2, 0
2, 3235, 51, 0
3, 3212, 74, 0
4, 2846, 440, 0
5, 1752, 1533, 1
6, 715, 2569, 2
7, 351, 2923, 12
8, 104, 3129, 53
9, 42, 2928, 316
10, 25, 2016, 1245
11, 18, 975, 2293
12, 15, 432, 2839
13, 15, 138, 3133
14, 13, 47, 3226
15, 13, 19, 3254
16, 13, 8, 3265
17, 13, 4, 3269
18, 13, 2, 3271
19, 13, 0, 3273
