time, s, i, r
0, 3285, 1, 0
1, 3282, 4, 0
2, 3282, 4, 0
3, 3262, 24, 0
4, 3262, 24, 0
5, 3161, 124, 1
6, 2617, 668, 1
7, 1579, 1703, 4
8, 759, 2508, 19
9, 226, 3036, 24
10, 98, 3073, 115
11, 43, 2733, 510
12, 23, 1972, 1291
13, 19, 967, 2300
14, 15, 347, 2924
15, 15, 119, 3152
16, 13, 44, 3229
17, 13, 22, 3251
18, 13, 6, 3267
19, 13, 5, 3268
20, 13, 2, 3271
21, 13, 0, 3273
