time, s, i, r
0, 3285, 1, 0
1, 3239, 47, 0
2, 2720, 566, 0
3, 2170, 1116, 0
4, 935, 2351, 0
5, 298, 2987, 1
6, 106, 3143, 37
7, 38, 2919, 329
8, 23, 2470, 793
9, 16, 1255, 2015
10, 15, 426, 2845
11, 13, 129, 3144
12, 13, 45, 3228
13, 13, 18, 3255
14, 13, 6, 3267
15, 13, 3, 3270
16, 13, 0, 3273
